date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:31	119/119	---MCZ	200	added ('OK')	text/plain	etag:W/%22bf-5e2092d26d4cf%22	http://dsipaint.com/robots.txt		(from )
08:54:31	2862/2862	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Jul%202023%2012:55:30%20GMT	http://dsipaint.com/games/wakaskunk/	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/index.html	(from )
08:54:31	2778/2778	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ada-5e21582021690%22	http://dsipaint.com/games/wakaskunk/scripts/wak-a_skunk.js	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/scripts/wak-a_skunk.js	(from http://dsipaint.com/games/wakaskunk/)
08:54:31	1310/1310	---M--	200	added ('OK')	image/png	etag:%2251e-5e21581f14db2%22	http://dsipaint.com/games/wakaskunk/images/head_hullbreach.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/head_hullbreach.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:31	777/777	---M--	200	added ('OK')	image/png	etag:%22309-5e21581eedcb3%22	http://dsipaint.com/games/wakaskunk/images/head_missgigi.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/head_missgigi.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:32	1233/1233	---M--	200	added ('OK')	image/png	etag:%224d1-5e21581f15d52%22	http://dsipaint.com/games/wakaskunk/images/head_savantinamorata.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/head_savantinamorata.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:32	1236/1236	---M--	200	added ('OK')	image/png	etag:%224d4-5e21581f7b651%22	http://dsipaint.com/games/wakaskunk/images/head_skunkman.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/head_skunkman.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:32	4016/4016	---M--	200	added ('OK')	image/png	etag:%22fb0-5e21581e9bc33%22	http://dsipaint.com/games/wakaskunk/images/watermark.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/watermark.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:32	6735/6735	---M--	200	added ('OK')	image/png	etag:%221a4f-5e21581eefbf3%22	http://dsipaint.com/games/wakaskunk/images/grass.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/grass.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:33	4029/4029	---M--	200	added ('OK')	image/png	etag:%22fbd-5e21581f57432%22	http://dsipaint.com/games/wakaskunk/images/skunkman.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/skunkman.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:33	796/796	---M--	200	added ('OK')	image/png	etag:%2231c-5e21581e99cf3%22	http://dsipaint.com/games/wakaskunk/images/bubble.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/bubble.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:33	848/848	---M--	200	added ('OK')	image/png	etag:%22350-5e21581ec1d93%22	http://dsipaint.com/games/wakaskunk/images/hole.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/hole.png	(from http://dsipaint.com/games/wakaskunk/)
08:54:33	4033/4033	---M--	200	added ('OK')	image/png	etag:%22fc1-5e21581f8bff1%22	http://dsipaint.com/games/wakaskunk/images/mallet.png	E:/New%20folder/TDKCADE/wakaskunk/dsipaint.com/games/wakaskunk/images/mallet.png	(from http://dsipaint.com/games/wakaskunk/)
